participant,adjP,adjP10,adjP20,adjP30,condition,points,exploded.balloons,change,age,gender,overall,comfort,smoothness,accuracy,force,mental.effort,physical.effort,finger,wrist,arm,shoulder,neck,I.plan.tasks.carefully.,I.do.things.without.thinking.,I.make.up.my.mind.quickly.,I.am.happy.go.lucky.,I.don.t..pay.attention..,I.have..racing..thoughts.,I.plan.trips.well.ahead.of.time.,I.am.self.controlled.,I.concentrate.easily.,I.save.regularly.,I..squirm..at.plays.or.lectures.,I.am.a.careful.thinker.,I.plan.for.job.security.,I.say.things.without.thinking.,I.like.to.think.about.complex.problems.,I.change.jobs.,I.act..on.impulse..,I.get.easily.bored.when.solving.thought.problems.,I.act.on.the.spur.of.the.moment.,I.am.a.steady.thinker.,I.change.residences.,I.buy.things.on.impulse.,I.can.only.think.about.one.thing.at.a.time.,I.change.hobbies.,I.spend.or.charge.more.than.I.earn.,I.often.have.extraneous.thoughts.when.thinking.,I.am.more.interested.in.the.present.than.the.future.,I.am.restless.at.the.theater.or.lectures.,I.like.puzzles.,I.am.future.oriented.,BIS_index,BIS
65,35.6190476190476,31,37.625,38.3333333333333,constrictive,748,9,23.6559139784946,22,female,5,3,5,5,1,1,1,3,1,1,1,1,occasionally,occasionally,often,often,often,often,almost always / always,often,often,often,rarely / never,often,occasionally,almost always / always,often,occasionally,almost always / always,rarely / never,often,occasionally,occasionally,often,often,rarely / never,almost always / always,occasionally,occasionally,occasionally,rarely / never,occasionally,75,high
66,44.7647058823529,35.8333333333333,51.1428571428571,47,constrictive,761,13,31.1627906976744,31,male,5,4,2,3,1,1,1,1,1,1,1,1,often,rarely / never,often,often,rarely / never,occasionally,often,almost always / always,almost always / always,rarely / never,often,almost always / always,occasionally,rarely / never,almost always / always,occasionally,often,rarely / never,often,occasionally,often,rarely / never,rarely / never,rarely / never,rarely / never,almost always / always,often,occasionally,often,often,61,low
67,27,25.1428571428571,27.1111111111111,28.5,expansive,648,6,13.3522727272727,33,male,4,4,5,5,1,1,1,1,1,1,1,1,rarely / never,often,often,often,occasionally,occasionally,rarely / never,almost always / always,almost always / always,often,often,often,rarely / never,rarely / never,almost always / always,rarely / never,often,rarely / never,occasionally,often,rarely / never,often,almost always / always,rarely / never,rarely / never,occasionally,occasionally,occasionally,almost always / always,often,64,high
68,49.7777777777778,50.6666666666667,53.1428571428571,44,constrictive,896,12,-13.1578947368421,32,male,5,5,5,5,1,3,2,1,1,1,1,1,almost always / always,occasionally,occasionally,occasionally,rarely / never,often,often,almost always / always,often,often,often,often,often,occasionally,almost always / always,often,often,occasionally,often,often,occasionally,occasionally,almost always / always,often,rarely / never,often,rarely / never,occasionally,often,almost always / always,62,low
69,28.2916666666667,19,32.5555555555556,31.625,expansive,679,6,66.4473684210526,26,male,4,3,3,4,2,2,2,2,2,2,2,1,almost always / always,rarely / never,often,rarely / never,rarely / never,occasionally,occasionally,almost always / always,almost always / always,often,occasionally,almost always / always,often,rarely / never,often,occasionally,rarely / never,occasionally,rarely / never,almost always / always,almost always / always,occasionally,rarely / never,occasionally,rarely / never,often,occasionally,occasionally,often,occasionally,53,low
70,34.5909090909091,22,35.4444444444444,53.2,constrictive,761,8,141.818181818182,27,male,5,3,5,5,1,1,2,1,3,3,3,3,occasionally,occasionally,often,often,occasionally,occasionally,occasionally,rarely / never,occasionally,occasionally,occasionally,occasionally,occasionally,rarely / never,often,occasionally,often,occasionally,often,often,occasionally,occasionally,often,occasionally,often,often,occasionally,occasionally,occasionally,occasionally,76,high
71,20,13.3333333333333,22,25.25,expansive,520,4,89.375,21,male,5,4,5,5,1,1,1,1,2,2,1,1,often,rarely / never,occasionally,occasionally,occasionally,often,often,occasionally,often,occasionally,rarely / never,often,occasionally,occasionally,often,occasionally,occasionally,rarely / never,occasionally,often,rarely / never,occasionally,rarely / never,occasionally,rarely / never,rarely / never,occasionally,rarely / never,almost always / always,often,55,low
72,18.7407407407407,13.6,22.2222222222222,21.25,constrictive,506,3,56.25,20,male,5,5,5,5,1,2,1,1,1,1,1,1,often,occasionally,often,often,rarely / never,occasionally,almost always / always,almost always / always,often,often,occasionally,often,often,rarely / never,often,rarely / never,occasionally,rarely / never,occasionally,often,rarely / never,rarely / never,rarely / never,rarely / never,occasionally,often,occasionally,rarely / never,often,almost always / always,51,low
73,54.8,56.6,54.6,53.2,expansive,822,15,-6.00706713780918,28,male,5,4,5,5,1,1,1,1,1,2,2,1,often,rarely / never,occasionally,often,rarely / never,almost always / always,occasionally,often,often,occasionally,rarely / never,almost always / always,almost always / always,occasionally,almost always / always,occasionally,often,rarely / never,occasionally,often,often,rarely / never,often,often,rarely / never,often,often,rarely / never,almost always / always,occasionally,61,low
74,39.05,20.375,46.625,61.25,constrictive,781,10,200.613496932515,21,male,3,4,4,3,2,2,1,1,1,1,1,1,often,rarely / never,almost always / always,occasionally,often,often,almost always / always,almost always / always,occasionally,often,often,almost always / always,often,rarely / never,almost always / always,rarely / never,occasionally,rarely / never,often,almost always / always,rarely / never,occasionally,rarely / never,often,rarely / never,rarely / never,occasionally,occasionally,almost always / always,often,54,low
